CENTRE_NO,PREDICTED_ANNUAL_REVENUE
79,1789265.5
74,1780767.5
85,1683878.2
73,1662590.4
91,1647557.6
63,1592968.0
43,1504894.5
83,1495979.1
71,1492312.5
28,1488076.5
3,1487266.0
53,1475878.9
61,1470570.2
41,1443912.1
86,1333915.1
96,1326686.2
46,1316945.2
40,1312935.2
8,1303176.1
80,1286889.9
35,1278496.9
45,1265080.1
76,1261611.4
69,1256108.2
37,1250730.6
94,1244931.4
21,1228734.1
10,1213949.2
49,1201777.0
33,1167380.1
70,1158058.8
98,1150796.0
36,1118758.6
29,1111845.9
1,1110803.2
65,1101529.9
18,1099153.1
47,1092983.4
13,1090566.6
99,1087296.6
77,1062792.6
9,1061069.1
62,1037684.44
14,1034689.3
12,1031010.2
2,1030770.5
5,1026651.94
31,1024133.8
57,1017968.75
78,1010263.56
7,1008080.5
42,1000967.94
23,997398.4
56,987235.2
32,969425.25
48,968175.0
22,957755.44
54,950460.5
16,944050.75
75,933408.56
51,910502.44
15,905297.0
30,901702.7
90,900163.6
20,882224.44
95,881402.25
81,881160.75
92,876049.94
59,870616.25
39,870567.56
58,857440.75
84,845737.5
93,834157.2
68,829593.6
87,829094.8
34,827694.5
50,825233.56
6,813161.9
38,810671.6
11,799158.56
24,791525.75
67,783782.2
4,779186.6
88,778713.0
19,757082.5
27,750610.7
100,747981.4
17,716971.7
97,709976.56
55,694363.3
60,687126.4
82,676543.9
44,671916.56
25,604734.1
26,602745.0
89,597641.4
64,574897.44
72,501214.66
66,441590.75
52,415335.12
